i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1274,3426480000000,3426480058570,3426485059754,5059.754,5000.536,0
1275,3426500000000,3426501319351,3426544106488,44106.488,5000.864,1
1276,3426520000000,3426544127567,3426557200574,37200.574,5000.720,1
1277,3426540000000,3426560004526,3426573005746,33005.746,5000.616,1
1278,3426560000000,3426574694414,3426579695063,19695.063,5000.368,0
1279,3426580000000,3426588110094,3426593134582,13134.582,5000.384,0
1280,3426600000000,3426604006684,3426617012288,17012.288,5000.560,0
1281,3426620000000,3426620006122,3426633037316,13037.316,5000.272,0
1282,3426640000000,3426643216442,3426648245785,8245.785,5000.288,0
1283,3426660000000,3426660032145,3426669051182,9051.182,5000.304,0
1284,3426680000000,3426680441433,3426685442986,5442.986,5000.328,0
1285,3426700000000,3426704016848,3426713019942,13019.942,5000.384,0
1286,3426720000000,3426720031126,3426725197603,5197.603,5000.720,0
1287,3426740000000,3426744025544,3426750170426,10170.426,5000.536,0
1288,3426760000000,3426767451585,3426775340244,15340.244,5000.528,0
1289,3426780000000,3426780033106,3426785060633,5060.633,5000.328,0
1290,3426800000000,3426816025997,3426829032729,29032.729,5000.312,1
1291,3426820000000,3426832004141,3426841135467,21135.467,5000.512,1
1292,3426840000000,3426844005102,3426849009206,9009.206,5000.328,0
1293,3426860000000,3426868054900,3426873071052,13071.052,5000.504,0
1294,3426880000000,3426880059037,3426885065989,5065.989,5000.344,0
1295,3426900000000,3426908005744,3426925013305,25013.305,5000.504,1
1296,3426920000000,3426935785806,3426940793471,20793.471,5000.480,1
1297,3426940000000,3426942129267,3426947130028,7130.028,5000.472,0
1298,3426960000000,3426960056822,3426971087297,11087.297,5000.264,0
1299,3426980000000,3426980058682,3426985082225,5082.225,5000.488,0
1300,3427000000000,3427001935085,3427010959570,10959.570,5000.504,0
1301,3427020000000,3427020030316,3427033030968,13030.968,5000.408,0
1302,3427040000000,3427040029272,3427053031812,13031.812,5000.376,0
1303,3427060000000,3427060054802,3427073065934,13065.934,5000.288,0
1304,3427080000000,3427080056566,3427085071343,5071.343,5000.320,0
1305,3427100000000,3427104014355,3427114052555,14052.555,5000.344,0
1306,3427120000000,3427120053119,3427133238975,13238.975,5000.392,0
1307,3427140000000,3427140013470,3427153028481,13028.481,5000.288,0
1308,3427160000000,3427160047152,3427173075506,13075.506,5000.416,0
1309,3427180000000,3427180064483,3427185065324,5065.324,5000.384,0
1310,3427200000000,3427201824054,3427210843092,10843.092,5000.656,0
1311,3427220000000,3427220016647,3427233024098,13024.098,5000.336,0
1312,3427240000000,3427244005121,3427253039157,13039.157,5000.728,0
1313,3427260000000,3427264008061,3427273013515,13013.515,5000.456,0
1314,3427280000000,3427280061864,3427285062737,5062.737,5000.520,0
1315,3427300000000,3427301846321,3427310837449,10837.449,5000.416,0
1316,3427320000000,3427320161441,3427333161494,13161.494,5000.264,0
1317,3427340000000,3427340008752,3427353056353,13056.353,5000.280,0
1318,3427360000000,3427360010260,3427376622528,16622.528,5000.536,0
1319,3427380000000,3427380032663,3427385033919,5033.919,5000.504,0
1320,3427400000000,3427401635373,3427416065335,16065.335,5000.344,0
1321,3427420000000,3427420044598,3427427216242,7216.242,5000.408,0
1322,3427440000000,3427444004826,3427455554346,15554.346,5000.312,0
1323,3427460000000,3427460025848,3427473029924,13029.924,5000.592,0
1324,3427480000000,3427480058690,3427485070306,5070.306,5003.576,0
1325,3427500000000,3427501661176,3427524925988,24925.988,5000.472,1
1326,3427520000000,3427526330900,3427531824995,11824.995,5000.392,0
1327,3427540000000,3427544005503,3427557045489,17045.489,5000.304,0
1328,3427560000000,3427560006638,3427576467141,16467.141,5000.280,0
1329,3427580000000,3427584012263,3427589033999,9033.999,5000.296,0
1330,3427600000000,3427628049571,3427645110833,45110.833,5000.432,1
1331,3427620000000,3427645124304,3427650147191,30147.191,5000.424,1
1332,3427640000000,3427650161022,3427655161487,15161.487,5000.376,0
1333,3427660000000,3427660025161,3427665025931,5025.931,5000.504,0
1334,3427680000000,3427680010822,3427685046197,5046.197,5000.344,0
1335,3427700000000,3427700994895,3427717194544,17194.544,5000.392,0
1336,3427720000000,3427720007879,3427737008345,17008.345,5000.408,0
1337,3427740000000,3427740181263,3427746485263,6485.263,5000.432,0
1338,3427760000000,3427760093057,3427765094059,5094.059,5000.416,0
1339,3427780000000,3427780023675,3427785058905,5058.905,5000.312,0
1340,3427800000000,3427804734212,3427814932720,14932.720,5000.496,0
1341,3427820000000,3427820025403,3427825026068,5026.068,5000.504,0
1342,3427840000000,3427840039502,3427851334455,11334.455,5000.400,0
1343,3427860000000,3427860041810,3427865054850,5054.850,5000.464,0
1344,3427880000000,3427880032303,3427885038951,5038.951,5000.360,0
1345,3427900000000,3427908005640,3427925706618,25706.618,5000.296,1
1346,3427920000000,3427925718569,3427930719066,10719.066,5000.424,0
1347,3427940000000,3427940053130,3427953788948,13788.948,5000.504,0
1348,3427960000000,3427965087125,3427982027907,22027.907,5000.432,1
1349,3427980000000,3427982293209,3427987293633,7293.633,5000.360,0
1350,3428000000000,3428010777807,3428028383567,28383.567,5000.376,1
1351,3428020000000,3428032011663,3428049008648,29008.648,5000.528,1
1352,3428040000000,3428056171093,3428077193435,37193.435,5000.488,1
1353,3428060000000,3428080021545,3428097046330,37046.330,5000.344,1
1354,3428080000000,3428097115661,3428120747760,40747.760,5000.424,1
1355,3428100000000,3428128004750,3428137059081,37059.081,5000.456,1
1356,3428120000000,3428140005967,3428153007011,33007.011,5000.504,1
1357,3428140000000,3428155355530,3428162528830,22528.830,5000.488,1
1358,3428160000000,3428172018171,3428185029206,25029.206,5000.432,1
1359,3428180000000,3428188004778,3428199177468,19177.468,5000.464,0
1360,3428200000000,3428204150479,3428215630123,15630.123,5000.384,0
1361,3428220000000,3428220056724,3428229080617,9080.617,5000.544,0
1362,3428240000000,3428241071402,3428250105279,10105.279,5000.312,0
1363,3428260000000,3428260993604,3428265994277,5994.277,5000.400,0
1364,3428280000000,3428280063832,3428288198042,8198.042,5000.336,0
1365,3428300000000,3428308343884,3428328200690,28200.690,5000.352,1
1366,3428320000000,3428328217729,3428341217077,21217.077,5000.376,1
1367,3428340000000,3428343473626,3428360494251,20494.251,5000.400,1
1368,3428360000000,3428360503802,3428365504211,5504.211,5000.400,0
1369,3428380000000,3428380062197,3428385062558,5062.558,5000.304,0
1370,3428400000000,3428408100090,3428419347998,19347.998,5000.312,0
1371,3428420000000,3428428034066,3428437046520,17046.520,5000.520,0
1372,3428440000000,3428440005877,3428450053092,10053.092,5000.352,0
1373,3428460000000,3428460035695,3428468179473,8179.473,5000.448,0
1374,3428480000000,3428482096942,3428487098311,7098.311,5000.592,0
1375,3428500000000,3428511008231,3428525336872,25336.872,5001.968,1
1376,3428520000000,3428526286599,3428531326893,11326.893,5000.512,0
1377,3428540000000,3428540051255,3428549064853,9064.853,5000.488,0
1378,3428560000000,3428568035624,3428573645231,13645.231,5000.432,0
1379,3428580000000,3428580066214,3428585066895,5066.895,5000.456,0
1380,3428600000000,3428616005141,3428629018584,29018.584,5000.288,1
1381,3428620000000,3428632003844,3428638028294,18028.294,5000.376,0
1382,3428640000000,3428641162743,3428660023090,20023.090,5000.496,1
1383,3428660000000,3428661065354,3428670065385,10065.385,5000.440,0
1384,3428680000000,3428680064259,3428685068484,5068.484,5000.360,0
1385,3428700000000,3428710797151,3428728191694,28191.694,5000.352,1
1386,3428720000000,3428728205333,3428738725451,18725.451,5000.448,0
1387,3428740000000,3428740006275,3428749036000,9036.000,5000.392,0
1388,3428760000000,3428764029156,3428770198909,10198.909,5000.512,0
1389,3428780000000,3428780196559,3428785474317,5474.317,5000.424,0
1390,3428800000000,3428804012621,3428814462920,14462.920,5000.280,0
1391,3428820000000,3428820023067,3428825335199,5335.199,5000.408,0
1392,3428840000000,3428844032500,3428850086461,10086.461,5000.424,0
1393,3428860000000,3428860028827,3428869042001,9042.001,5000.368,0
1394,3428880000000,3428882083626,3428887084819,7084.819,5000.744,0
1395,3428900000000,3428904035280,3428920043527,20043.527,5000.400,1
1396,3428920000000,3428926055266,3428935069048,15069.048,5000.336,0
1397,3428940000000,3428940113006,3428949135171,9135.171,5000.352,0
1398,3428960000000,3428963052656,3428976614054,16614.054,5000.416,0
1399,3428980000000,3428980061393,3428985091649,5091.649,5000.408,0
1400,3429000000000,3429004018822,3429013050931,13050.931,5000.320,0
1401,3429020000000,3429020036772,3429025961613,5961.613,5000.280,0
