i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
275,3414750000000,3414752109423,3414777326235,27326.235,15000.408,0
276,3414800000000,3414800054812,3414845814409,45814.409,15000.368,0
277,3414850000000,3414850006359,3414879314752,29314.752,15000.464,0
278,3414900000000,3414910011920,3414949139145,49139.145,15000.304,0
279,3414950000000,3414951297268,3414978840583,28840.583,15000.304,0
280,3415000000000,3415017128626,3415054324296,54324.296,15000.328,1
281,3415050000000,3415054334119,3415075825806,25825.806,15000.328,0
282,3415100000000,3415117024439,3415154009372,54009.372,15000.424,1
283,3415150000000,3415156004914,3415177636591,27636.591,15000.400,0
284,3415200000000,3415214614948,3415253788370,53788.370,15000.496,1
285,3415250000000,3415253800041,3415275940627,25940.627,15000.440,0
286,3415300000000,3415310853599,3415341457678,41457.678,15000.736,0
287,3415350000000,3415353084881,3415375321540,25321.540,15000.576,0
288,3415400000000,3415411522551,3415447938003,47938.003,15000.320,0
289,3415450000000,3415456115197,3415477882816,27882.816,15000.472,0
290,3415500000000,3415500354771,3415566354181,66354.181,15000.704,1
291,3415550000000,3415576030751,3415617257918,67257.918,15000.336,1
292,3415600000000,3415620013247,3415658977435,58977.435,15000.512,1
293,3415650000000,3415659245552,3415687264682,37264.682,15000.400,0
294,3415700000000,3415720041267,3415750724653,50724.653,15000.496,1
295,3415750000000,3415751757117,3415775399879,25399.879,15000.408,0
296,3415800000000,3415808006291,3415851710615,51710.615,15000.336,1
297,3415850000000,3415851720718,3415875500606,25500.606,15000.336,0
298,3415900000000,3415913375318,3415977025683,77025.683,15000.328,1
299,3415950000000,3415977989288,3416104595066,154595.066,15000.456,1
300,3416000000000,3416104679964,3416189106842,189106.842,15000.344,1
301,3416050000000,3416189116857,3416248930376,198930.376,15000.496,1
302,3416100000000,3416248942303,3416294554150,194554.150,15000.392,1
303,3416150000000,3416294880736,3416326184487,176184.487,15000.480,1
304,3416200000000,3416327399002,3416357925247,157925.247,15000.464,1
